event_id,research_domain,event_type,study_stage,biological_system,application_area,outcome,failure_reason,decision_taken,decision_driver,evidence_snippet,evidence_strength,confidence,source_id,doc_id,chunk_id,page_number,created_at
0daab6e4483a8a17,construction_science,efficacy_result,in_vivo,cells,,successful,unknown,unknown,,"Key words: stem cell; life; differentiation; research; literature Introduction cell line derived from an Atoh1-green fluorescent The stem cell is the origin of an organism’s life protein (GFP) transgenic mouse was used to track the that has the potential to develop into many different generation of otic progenitors, initial HCs and to types of cells in life bodies.",moderate,med,7aadd79d7ac741fd,f6515c1829e2787b,70647b5a38084ff8,1,2026-02-01T10:27:36Z
73f731ab43351d55,construction_science,efficacy_result,in_vitro,,,successful,unknown,modified,,"Although UC and DP tissues exhibited similar Human pluripotent stem cells (hPSCs) and their expression of surface markers for MSCs, UC showed differentiated derivatives have the potential to provide higher expression of CD29, CD34, CD44, CD73, an unlimited source of disease-relevant cell types and CD105, CD146, and CD166.",moderate,low,7aadd79d7ac741fd,f6515c1829e2787b,34c71c044e3e0f92,2,2026-02-01T10:27:37Z
029bbbddd4336e4b,construction_science,method_evaluation,in_vivo,,,unknown,unknown,unknown,,"exchange chromatography (SCX) prefractionation and METHODS: PDLSCs were isolated and stimulated citric acid-assisted two-step enrichment with TiO2 with osteogenic media containing 1, 10, or 20 ng/ml (CATSET) strategy followed by nanoLC-MS/MS TNF-alpha.",moderate,med,7aadd79d7ac741fd,f6515c1829e2787b,a4c9b526d06206ff,4,2026-02-01T10:27:37Z
4b4fc64e287e6df2,construction_science,regulatory_risk,in_vitro,,,unknown,regulatory,unknown,,"""Indoleamine 2,3-dioxygenase ultrastructural reconstruction analysis of Nestin-GFP- and regulatory T cells in acute myeloid leukemia."" positive RGL cells of the dentate gyrus.",moderate,med,7aadd79d7ac741fd,f6515c1829e2787b,2c3ffaed98e18b71,5,2026-02-01T10:27:37Z
664c5a6479aabadd,construction_science,manufacturing_constraint,in_vitro,,,unknown,scalability,unknown,,their primary processes follow a tortuous path from BACKGROUND AND OBJECTIVES: The the subgranular zone through the granule cell layer microenvironment of acute myeloid leukemia (AML) and ensheathe local synapses and vasculature in the is suppressive for immune cells.,moderate,med,7aadd79d7ac741fd,f6515c1829e2787b,2c3ffaed98e18b71,5,2026-02-01T10:27:37Z
6a943948b04620ed,construction_science,regulatory_risk,in_vitro,,,unknown,regulatory,unknown,,Regulatory T cells inner molecular layer.,moderate,low,7aadd79d7ac741fd,f6515c1829e2787b,2c3ffaed98e18b71,5,2026-02-01T10:27:37Z
6e18ebfe9a60ae66,construction_science,manufacturing_constraint,in_vitro,,,unknown,scalability,unknown,,They share the ensheathing of (Tregs) have been recognized to play a role in helping synapses and vasculature with astrocytic processes leukemic cells to evade immunesurveillance.,moderate,med,7aadd79d7ac741fd,f6515c1829e2787b,2c3ffaed98e18b71,5,2026-02-01T10:27:37Z
f029b3d304d5cc58,construction_science,manufacturing_constraint,unknown,,,unknown,scalability,unknown,,The and adhere to the adjacent processes of astrocytes.,moderate,low,7aadd79d7ac741fd,f6515c1829e2787b,2c3ffaed98e18b71,5,2026-02-01T10:27:37Z
960f526919b88808,construction_science,manufacturing_constraint,in_vitro,,,unknown,scalability,unknown,,"mesenchymal stem cells (MSCs) are essential This extensive interaction of processes with their local contributors in immunomodulation of the environment could allow them to be uniquely microenvironment as they can promote differentiation receptive to signals from local neurons, glia, and of Tregs via the indoleamine 2,3-dioxygenase (IDO) vasculature, which may regulate their fate.",weak,med,7aadd79d7ac741fd,f6515c1829e2787b,2c3ffaed98e18b71,5,2026-02-01T10:27:37Z
fab2cf1fc602116d,construction_science,manufacturing_constraint,in_vivo,,,unknown,scalability,unknown,,"Young ""Fine processes of demonstrate a positive feedback loop between MM Nestin-GFP-positive radial glia-like stem cells in the cells and MSC: MM cells promote the increase of adult dentate gyrus ensheathe local synapses and miR146a in MSC which leads to more cytokine vasculature."" Front Neural Circuits.",strong,low,7aadd79d7ac741fd,f6515c1829e2787b,2c3ffaed98e18b71,5,2026-02-01T10:27:37Z
