event_id,event_type,stage,confidence_original,evidence_snippet,science_research_v1_score,biohacking_curiosity_v1_score
f2279649daf26cfd,method_evaluation,unknown,med,"ll Review Human trials exploring anti-aging medicines LeonardGuarente,1,2,*DavidA.Sinclair,2,3andGuidoKroemer2,4,5,6,* 1DepartmentofBiology,MassachusettsInstituteforTechnology,Cambridge,MA02139 2Acade",+0.0,+3.0
aa9709944b35996a,efficacy_result,in_vivo,med,"Multiple clinical trials have commenced toevaluatetheefficacyofsuchagentsagainstage-associateddiseasesincludingdiabetes,cardiovascular disease, cancer, and neurodegenerative diseases.",+0.0,+0.0
1b48e7b24da18392,manufacturing_constraint,in_vivo,low,There are reasonable expectations that drugs able to decelerate or reverse aging processes will also exert broad disease-preventing or -attenuating effects.,+0.0,+0.0
0031ad94004bbb8a,decision_point,unknown,low,Drugsapproved for specific disease indicationsmaysubsequently be repur- posedforthetreatmentoforganism-wideagingconsequences.,+0.0,+0.0
c13bf551a3b46dc3,efficacy_result,in_vivo,med,"Overthepastthreedecades,aginghasbeenstudiedusingthe We have also avoided recent, potentially exciting strategies same advanced tools of genetics and molecular biology that thatmayfacesignificantbarrie",+0.0,+0.0
8ebd193696ed132a,efficacy_result,in_vivo,med,"adultsomaticcellsintoembryonicstemcellsusingthe‘‘Yama- This research has identified numerous aging-relevant mecha- nakafactors,’’acocktailofgenesencodingfourdifferenttran- nismsandpathwaysthatconstitu",+5.0,-1.0
5ab692deec72ee89,decision_point,in_vivo,med,"These interventions were chosen based on several ventheartandkidneydiseases,reduceoverallmortalityindia- criteria.First,theyarewellrepresentedincompletedorongoing beticmiceandreducecardiovasculardeath",+0.0,+0.0
d8a8cdb1f106cf7b,manufacturing_constraint,clinical,med,"Second, they have THEPROCESSESTHEYAFFECT a solid track record of slowing aging in preclinical studies in model organisms, including rodents.",+0.0,+0.0
7254589a6c636fc9,decision_point,unknown,med,"AMPK activation lowers glucose production in the liver glucose-loweringagenttomanagetype2diabetes(T2D).Itshis- of insulin resistant diabetics and stimulates mitochondrial torytracestotheFrenchlilac,at",+0.0,+1.0
9011ced4516f5f50,efficacy_result,in_vivo,med,"Gradually, the safety weakened respiratory chain, and the decreased release of tis- andefficacyofmetforminbecameclear,andithasbeenwidely sue-damaging factorsbysenescentcells(senescence-associ- usedasa",-4.0,+0.0
09c90c221d0675f0,manufacturing_constraint,unknown,med,"Inmice,GLP-1Ragonistsappeartoslowor have also been found, including the release of glucagon-like evenreverseagingprocessesaffectingthebrain.32 peptide-1(GLP-1),GDF15,andMIC-1.16 Rapamycin/TORC1 NAD+/s",+3.0,-1.0
17f6cc140ea5b4f3,efficacy_result,in_vivo,med,"Rapamycin represses activity of slow aging processes in yeast, worms, flies, and mice and akinasecomplex,TORC1,whichwasfirstidentifiedinyeast,33 extend their lifespan.17 Notably, rare variants in huma",+0.0,+0.0
501c432e0dc73567,decision_point,unknown,med,"This Chemical analogs of rapamycin, or rapalogs, have recently restoredNAD+activatesmitochondrialSIRT3tofacilitatemito- been sought to fine-tune mTOR inhibition (i.e., inhibit TORC1 chondrialmaintenan",+0.0,+2.0
9a7667bd0a5be155,decision_point,in_vivo,med,"In addition to NAD+ boosters, sirtuin activating com- Thenaturalmetabolite,spermidine,isthesolepolyaminethatin- pounds (STACs) that directly activate the mammalian sirtuin, creasesthelifespanofyeast,w",+0.0,+0.0
005d89ea2ec65dfd,manufacturing_constraint,unknown,med,"requireactivationofthepro-autophagictranscriptionfactorEB forallbutthereferenceattheendofthissection).31Differential (TFEB).45,46 TFEB activation requires attachment of hypusine processingofproglucago",+0.0,+0.0
271c83e333183f10,manufacturing_constraint,unknown,low,"urolithinA,arealsoinducersofautophagyandmitophagy.51–53 Possible causes of inflammaging include poor diets and/or Hence,byactivatingautophagy,spermidinemayactivateacen- lackofexerciseleadingtometaboli",+3.0,+0.0
530f9a63837179a5,toxicity_flag,in_vivo,med,"In the first, the DNA repair ingorganismsandtobereducedbyalow-caloriediet,whichis gene,ERCC1,wasknockedoutinhematopoieticcellstriggering knowntoextendlifespan.55Senescentcellshavepossiblenon- a wide v",+0.0,+0.0
bf2cb202335a2e88,decision_point,clinical,med,"(aSrckinaseinhibitorinclinicalusesince2005)usedincombi- nation with the flavonol quercetin (D + Q), the natural grape HUMANSTUDIESONTHEEIGHTINTERVENTIONS seedextractpolyphenolprocyanidinC1,certainheat",+0.0,+2.0
8a3945c11a012c8f,efficacy_result,unknown,med,"For example, cancer ofprobioticsmayhavethepotentialtolowersystemicinflamma- protectionmaybeduetomitigatinghyperinsulinemia,sincein- tionandyieldsalutaryeffects.",+0.0,+0.0
6cc7e50c634c7459,decision_point,in_vivo,med,"Examplesofinterventional,ongoingclinicaltrialsonage-associatedcardiovasculardiseases,cancerprevention,neurodegeneration,andotherage-related conditions Category Molecule Indication Status Phase Princip",+0.0,+0.0
8a14732e0ca1f63a,stability_issue,in_vivo,high,"Metformin metformin atherosclerosisin recruiting IV timetodeath,non-fatalmyocardial 02915198 prediabetes infarction,stroke,hospitalization forunstableangina,orsymptom- drivencoronaryrevascularization ",+0.0,+0.0
64c10655a35a7623,decision_point,unknown,low,Continued Category Molecule Indication Status Phase Principalendpoint(s) NCTno.,+0.0,+0.0
2e196bddc071dae8,regulatory_risk,in_vivo,med,"preventionofprogression recruiting III timetoprogressionof 01864096 inlow-riskprostatecancer prostatecancerwithin 3years preventionoforalcancer active,notrecruiting II completeorpartial 02581137 inpat",+0.0,+0.0
4975fa625a47e593,decision_point,unknown,low,Continued Category Molecule Indication Status Phase Principalendpoint(s) NCTno.,+0.0,+0.0
f41cf9c84214c959,method_evaluation,in_vivo,med,"Parkinson’sdisease recruiting II motorfunctionandserum 05781711 biomarkers(BDNF)after3months musclehealthinhealthy active,notrecruiting I MRI-quantifiedmusclemass 03107884 adults>60years after5daysofb",+2.0,+3.0
0e799e2e75f6f5d8,decision_point,unknown,low,Continued Category Molecule Indication Status Phase Principalendpoint(s) NCTno.,+0.0,+0.0
17c74b90ccc9d5ef,efficacy_result,in_vivo,med,"mildcognitiveimpairment recruiting I changesinbrainNAD+,CK/ATPase 04430517 andmildAlzheimer’sdiseasein activity,andglutathioneafter12weeks patients>55years cognitiveimpairment notyetrecruiting N/A sle",+0.0,+2.0
17c6acf89e18d3e4,decision_point,unknown,low,Continued Category Molecule Indication Status Phase Principalendpoint(s) NCTno.,+0.0,+0.0
cc61b91f74ccd3a6,decision_point,in_vivo,med,"cardiovasculardisease recruiting III timetomajorcardiovascularevent 05669755 inobesity (infarction,stroke,anddeath)upto 163weeksormore cardiovasculardisease recruiting IV frequencyofcirculatingALDHhiS",+0.0,+0.0
