pdf_name,page,sentence,lens,event_type,outcome,confidence,context_strength,source_weight,tags,entities
086150b24ff9fba2e0de7660ec9d6979.pdf,5,The beam is expanded and directed via a press unintended exposure.,climate,climate_resilience,neutral,med,weak,0.90,climate_resilience|construction_climate_interaction,"[{""entity_type"": ""resilience_term"", ""entity_name"": ""exposure"", ""entity_variant"": ""concept"", ""role"": ""context""}, {""entity_type"": ""system"", ""entity_name"": ""beam"", ""entity_variant"": ""system"", ""role"": ""context""}]"
086150b24ff9fba2e0de7660ec9d6979.pdf,7,We first focus on the re- port structures by brief exposure to an ultrasonic bath.,climate,climate_resilience,neutral,low,weak,0.90,climate_resilience,"[{""entity_type"": ""resilience_term"", ""entity_name"": ""exposure"", ""entity_variant"": ""concept"", ""role"": ""context""}]"
34444b25e66fd1189b4ff2101056ae6352ab55760bd9fe763d86bce8e3a7abdf.pdf,3,A Class A roof covering reduces this vulnerability.,climate,climate_resilience,neutral,med,weak,0.90,climate_resilience|construction_climate_interaction,"[{""entity_type"": ""resilience_term"", ""entity_name"": ""vulnerability"", ""entity_variant"": ""concept"", ""role"": ""context""}, {""entity_type"": ""system"", ""entity_name"": ""roof"", ""entity_variant"": ""system"", ""role"": ""context""}]"
34444b25e66fd1189b4ff2101056ae6352ab55760bd9fe763d86bce8e3a7abdf.pdf,4,"However, wind-blown embers may still accumulate at the base of a door or penetrate small openings around the door and ignite the door jamb.",climate,climate_resilience,negative,med,weak,0.90,climate_resilience|has_hazard|construction_climate_interaction,"[{""entity_type"": ""hazard"", ""entity_name"": ""wind"", ""entity_variant"": ""hazard"", ""role"": ""exposure""}, {""entity_type"": ""system"", ""entity_name"": ""door"", ""entity_variant"": ""system"", ""role"": ""context""}]"
34444b25e66fd1189b4ff2101056ae6352ab55760bd9fe763d86bce8e3a7abdf.pdf,5,"Wildfire loss estimates are influenced by drought and climate trends, population growth in high-hazard areas, and construction culture in wildfire-prone areas (Aon Benfield 2016; Kramer et al., 2019).",climate,climate_resilience,negative,med,moderate,0.90,climate_resilience|has_hazard,"[{""entity_type"": ""hazard"", ""entity_name"": ""wildfire"", ""entity_variant"": ""hazard"", ""role"": ""exposure""}, {""entity_type"": ""hazard"", ""entity_name"": ""drought"", ""entity_variant"": ""hazard"", ""role"": ""exposure""}, {""entity_type"": ""resilience_term"", ""entity_name"": ""hazard"", ""entity_variant"": ""concept"", ""role"": ""context""}]"
34444b25e66fd1189b4ff2101056ae6352ab55760bd9fe763d86bce8e3a7abdf.pdf,5,"The rapid development of land in California has outpaced the enhancement of scientific measures to estimate the wildfire risk, evaluate building materials, and provide policy makers with methodical long-term views (Moore, 1981).",climate,climate_resilience,negative,med,moderate,0.90,climate_resilience|has_hazard,"[{""entity_type"": ""hazard"", ""entity_name"": ""wildfire"", ""entity_variant"": ""hazard"", ""role"": ""exposure""}, {""entity_type"": ""resilience_term"", ""entity_name"": ""risk"", ""entity_variant"": ""concept"", ""role"": ""context""}]"
34444b25e66fd1189b4ff2101056ae6352ab55760bd9fe763d86bce8e3a7abdf.pdf,5,"Structures built in the State Responsibility Area (SRA) and high and very high fire hazard severity zones in the Local Responsibility Areas (LRAs) must meet specific building materials, systems, and assembly requirements.",climate,climate_resilience,neutral,low,moderate,0.90,climate_resilience,"[{""entity_type"": ""resilience_term"", ""entity_name"": ""hazard"", ""entity_variant"": ""concept"", ""role"": ""context""}]"
34444b25e66fd1189b4ff2101056ae6352ab55760bd9fe763d86bce8e3a7abdf.pdf,5,"The hazard intensity from local fuels can vastly vary, which directly influences the performance of different building materials (Caton et al., 2017).",climate,climate_resilience,neutral,low,moderate,0.90,climate_resilience,"[{""entity_type"": ""resilience_term"", ""entity_name"": ""hazard"", ""entity_variant"": ""concept"", ""role"": ""context""}]"
34444b25e66fd1189b4ff2101056ae6352ab55760bd9fe763d86bce8e3a7abdf.pdf,5,"Also, as previously mentioned, the enforcement of Chapter 7A is limited to new construction in the SRA and the very high fire hazard severity zones in the LRAs.",climate,climate_resilience,neutral,low,weak,0.90,climate_resilience,"[{""entity_type"": ""resilience_term"", ""entity_name"": ""hazard"", ""entity_variant"": ""concept"", ""role"": ""context""}]"
34444b25e66fd1189b4ff2101056ae6352ab55760bd9fe763d86bce8e3a7abdf.pdf,6,"Individually and collectively, resilient choices in these eight areas reduce the likelihood of ignition that result in catastrophic building loss in a community threatened by wildfire.",climate,climate_resilience,negative,low,weak,0.90,climate_resilience|has_hazard,"[{""entity_type"": ""hazard"", ""entity_name"": ""wildfire"", ""entity_variant"": ""hazard"", ""role"": ""exposure""}]"
34444b25e66fd1189b4ff2101056ae6352ab55760bd9fe763d86bce8e3a7abdf.pdf,6,"While Chapter 7A provides a range of prescriptive and performance-based options, the Suburban Wildfire Adaptation Roadmaps discriminate the fire performance of individual building components based on their characteristics and fill the gap on defensible space guidance.",climate,climate_resilience,negative,med,weak,0.90,climate_resilience|has_hazard,"[{""entity_type"": ""hazard"", ""entity_name"": ""wildfire"", ""entity_variant"": ""hazard"", ""role"": ""exposure""}, {""entity_type"": ""resilience_term"", ""entity_name"": ""adaptation"", ""entity_variant"": ""concept"", ""role"": ""context""}]"
34444b25e66fd1189b4ff2101056ae6352ab55760bd9fe763d86bce8e3a7abdf.pdf,6,"Flying embers and wind-blown, ground- traveling burning debris are by far the most prevalent attack mechanisms threatening structures during a wildfire.",climate,climate_resilience,negative,low,weak,0.90,climate_resilience|has_hazard,"[{""entity_type"": ""hazard"", ""entity_name"": ""wind"", ""entity_variant"": ""hazard"", ""role"": ""exposure""}, {""entity_type"": ""hazard"", ""entity_name"": ""wildfire"", ""entity_variant"": ""hazard"", ""role"": ""exposure""}]"
34444b25e66fd1189b4ff2101056ae6352ab55760bd9fe763d86bce8e3a7abdf.pdf,7,"Buildings can be affected by multiple sources of ignition during a wildfire, including radiative heat transfer from flames, convective heating from wind-blown plumes, continuous or intermittent flame contact, and localized heating from spot fires near the building (Himoto, 2022).",climate,climate_resilience,negative,med,moderate,0.90,climate_resilience|has_hazard|construction_climate_interaction,"[{""entity_type"": ""hazard"", ""entity_name"": ""wind"", ""entity_variant"": ""hazard"", ""role"": ""exposure""}, {""entity_type"": ""hazard"", ""entity_name"": ""wildfire"", ""entity_variant"": ""hazard"", ""role"": ""exposure""}, {""entity_type"": ""system"", ""entity_name"": ""heating"", ""entity_variant"": ""system"", ""role"": ""context""}]"
34444b25e66fd1189b4ff2101056ae6352ab55760bd9fe763d86bce8e3a7abdf.pdf,7,Roof Wind patterns near buildings heavily influence ember distribution patterns and accumulation locations.,climate,climate_resilience,negative,med,weak,0.90,climate_resilience|has_hazard|construction_climate_interaction,"[{""entity_type"": ""hazard"", ""entity_name"": ""wind"", ""entity_variant"": ""hazard"", ""role"": ""exposure""}, {""entity_type"": ""system"", ""entity_name"": ""roof"", ""entity_variant"": ""system"", ""role"": ""context""}]"
34444b25e66fd1189b4ff2101056ae6352ab55760bd9fe763d86bce8e3a7abdf.pdf,7,"Several retrospective studies have reported a statistical correlation between wood roofing and building losses due to ember exposure (Davis, 1990; Foote Insurance Institute for Business & Home Safety 7",climate,climate_resilience,neutral,med,moderate,0.90,climate_resilience|construction_climate_interaction,"[{""entity_type"": ""resilience_term"", ""entity_name"": ""exposure"", ""entity_variant"": ""concept"", ""role"": ""context""}, {""entity_type"": ""material"", ""entity_name"": ""wood"", ""entity_variant"": ""material"", ""role"": ""context""}]"
