pdf_name,page,sentence,lens,event_type,outcome,confidence,context_strength,source_weight,tags,entities
048793376e84cfc9a50cfdeba112497b.pdf,3,"Comparisons between different contact line models further showed that, in theory, surfactant effects are strongly coupled to wetting assumptions and interfacial boundary conditions15.",failure,failure_analysis,unknown,low,weak,0.90,failure_analysis|has_causality,[]
048793376e84cfc9a50cfdeba112497b.pdf,4,"They showed quasi-universal wetting behaviour of sessile droplets induced by surfactant-capped nanoparticles26, altered spreading dynamics of sessile droplets due to nanoparticle–surfactant interactions27, and strong correlations between contact line capillarity and dynamic contact angle hysteresis28 during droplet-substrate interactions.",failure,failure_analysis,unknown,low,moderate,0.90,failure_analysis|has_causality,[]
0a21751c2a919993e557a1ba67e91de2.pdf,13,Investigation of magneto-structural phase transition in FeRh by reflectivity and transmittance measurements in visible and near-infrared spectral region.,failure,failure_analysis,negative,low,weak,0.90,failure_analysis,[]
0d68fa3c0ca709a8e9486077f02ec5bf8896429791add4d3ec475c80b57fcdfb.pdf,10,"The number of observed 350 centromeres exhibited temporal fluctuations, remaining relatively stable before mitosis, 351 ranging from ~45 at -4 hours to ~40 at -2 hours, before decreasing to ~30 at 0 hours, 352 likely due to mitotic condensation and overlapping centromeres (Fig. 4B).",failure,failure_analysis,unknown,low,moderate,0.90,failure_analysis|has_causality,[]
19c8641eb0ac6abaff65e3ca55e3935f.pdf,3,"Plasticization of chitosan with glycerol has been attributed to the dis- ruption of glucosamine intramolecular hydrogen bonds with insights from attenuated total reflectance-Fourier transform infrared spectroscopy (ATR-FTIR) and nuclear magnetic res- onance (NMR).38 However, the proposed mechanism does not account for the role of water despite the high moisture uptake of chitosan at ambient conditions.40,41 Furthermore, this mechanism focuses on the glucosamine monomer assemblies and may not translate to the chitosan polymer, where intermolecular interactions are expected to play a more significant role.",failure,failure_analysis,unknown,low,moderate,0.90,failure_analysis|has_causality,[]
21b4ec6e220523a7b3344caaccd2a26b.pdf,1,"This controversy has remained active due to the sented as a better platform to investigate the polar nature difficultydistinguishingthetwophasesviaconventionalthin of the ferroelectric phase when compared to their polycrys- film diffraction approaches, namely; ‘specular’ θ/2θ mea- talline counterparts [9–11] due to reduced structural com- surements,texture(polefigure)andin-planemeasurements, plexity and a minimization of extrinsic effects.",failure,failure_analysis,unknown,low,strong,0.90,failure_analysis|has_causality,[]
34444b25e66fd1189b4ff2101056ae6352ab55760bd9fe763d86bce8e3a7abdf.pdf,7,"Several retrospective studies have reported a statistical correlation between wood roofing and building losses due to ember exposure (Davis, 1990; Foote Insurance Institute for Business & Home Safety 7",failure,failure_analysis,unknown,low,moderate,0.90,failure_analysis|has_causality,[]
34444b25e66fd1189b4ff2101056ae6352ab55760bd9fe763d86bce8e3a7abdf.pdf,8,"Likely due to intervention from first responders, the damage was contained to the gutter and roof edge and did not spread to the rest of the home.",failure,failure_analysis,unknown,low,moderate,0.90,failure_analysis|has_causality,[]
34444b25e66fd1189b4ff2101056ae6352ab55760bd9fe763d86bce8e3a7abdf.pdf,8,"Direct flame contact to the edge of the roof caused by ignited debris in the gutters during ember storms (a) in the Camp Fire (2018) in County, California (home defended by first responders), and (b) a vinyl gutter melts off a house during testing at the IBHS Research Center.",failure,failure_analysis,unknown,low,moderate,0.90,failure_analysis|has_causality,[]
34444b25e66fd1189b4ff2101056ae6352ab55760bd9fe763d86bce8e3a7abdf.pdf,12,"Ember accumulation at the base of the wall causing ignition (a and b) at the IBHS Research Center, (c) in the post-Camp Fire (2018) investigation in Butte County, California, and (d) at the base of a wall in the Glass Fire (2020) in Napa and Sonoma Counties, California, which did not have the opportunity to grow because of a noncombustible vertical clearance.",failure,failure_analysis,negative,low,moderate,0.90,failure_analysis|has_causality,[]
34444b25e66fd1189b4ff2101056ae6352ab55760bd9fe763d86bce8e3a7abdf.pdf,14,"As shown in Figures 5a and b, investigations following the Glass Fire (2020) in Napa and Sonoma Counties, California, highlighted this pathway where embers landed in the front yard and ignited the wood mulch.",failure,failure_analysis,negative,low,moderate,0.90,failure_analysis,[]
34444b25e66fd1189b4ff2101056ae6352ab55760bd9fe763d86bce8e3a7abdf.pdf,21,"In the Glass Fire (2020) in Napa and Sonoma Counties, California, (a) a combustible fence provided a pathway for fire to spread uphill and damage both homes during fire, and (b) a wood fence spread fire and led to a cascade of damage (defended).",failure,failure_analysis,unknown,low,moderate,0.90,failure_analysis|has_causality,[]
34444b25e66fd1189b4ff2101056ae6352ab55760bd9fe763d86bce8e3a7abdf.pdf,23,Exterior Wall Covering/Cladding Exterior walls are vulnerable to flames and radiant heat because of their geometry and area.,failure,failure_analysis,unknown,low,weak,0.90,failure_analysis|has_causality,[]
34444b25e66fd1189b4ff2101056ae6352ab55760bd9fe763d86bce8e3a7abdf.pdf,23,"Post-fire investigations report that fire can also grow on the surface, spreading laterally and specifically vertically, and expose other components on the wall such as windows and under-eave vents to flames, as demonstrated in Figure 12 (Insurance Institute for Business & Home Safety, 2020; Maranghides et al., 2015; Quarles et al., 2013).",failure,failure_analysis,negative,low,moderate,0.90,failure_analysis,[]
34444b25e66fd1189b4ff2101056ae6352ab55760bd9fe763d86bce8e3a7abdf.pdf,24,"IBHS post-fire investigations show: (a) fire penetration through combustible cladding and vertical flame spread during the Glass Fire (2020) in Napa and Sonoma Counties, California, likely from a burning vehicle; (b) radiant heat damage from surrounding fires (located more than 50 ft away) damaged the vinyl siding, also during the Glass Fire (2020); (c) T1-11 siding ignited due to fire from surrounding vegetation, likely suppressed by first responders during the Camp Fire (2018) in Butte County, California; (d) fire penetration through combustible cladding during the Waldo Canyon Fire (2012) in El Paso County, Colorado (Maranghides et al., 2015); and (e) in the laboratory, the siding of the building ignited during IBHS’s full-scale wind- driven building-to-building fire spread tests.",failure,failure_analysis,negative,med,strong,0.90,failure_analysis|has_causality|has_units,[]
34444b25e66fd1189b4ff2101056ae6352ab55760bd9fe763d86bce8e3a7abdf.pdf,30,Laboratory investigation of fire transfer from exterior wood decks to buildings in the Wildland–Urban interface.,failure,failure_analysis,negative,low,weak,0.90,failure_analysis,[]
3b29934cac54688af1e321e38d70d67d.pdf,7,"This behavior is indicative of additional higher-order anharmonic terms,42 most likely due to some avoided band crossings or structural transition above T .",failure,failure_analysis,unknown,low,strong,0.90,failure_analysis|has_causality,[]
4a57a0b7b1c0bc79f2834dc1f2002f3a.pdf,22,Structural investigation of the proton-coupled secondary trans- porters.,failure,failure_analysis,negative,low,weak,0.90,failure_analysis,[]
5986e755707ef34b6b702a742cda2eae3028ac2217dbdb9ce88102b3a60bf0ca.pdf,16,"In fact, the absence of these canonical neuronal markers suggests a failure to activate the transcriptional and structural programs required for neuronal differentiation and development.",failure,failure_analysis,negative,low,weak,0.90,failure_analysis,[]
82786849a63aacf9054a5a9564a484d0.pdf,23,"Notably, no significant structural distortion or lattice collapse is observed in either monolayer, underscoring their resilience at ambient conditions.",failure,failure_analysis,negative,low,weak,0.90,failure_analysis|has_failure_mode,"[{""entity_type"": ""failure_mode"", ""entity_name"": ""collapse"", ""entity_variant"": ""failure_mode"", ""role"": ""failure""}]"
b44324db33bc1f6fcd78f9f7f451ef75.pdf,5,Results Preliminary investigation of the Nantan fragment using SEM showed a large variety of phases and structural morphology of the sample surface.,failure,failure_analysis,negative,low,weak,0.90,failure_analysis,[]
building-physics.pdf,17,"The heat than the laboratory value due to the influence resistance of 100 mm of insulation material is of moisture, aging etc.",failure,failure_analysis,unknown,med,strong,0.90,failure_analysis|has_causality|has_units,[]
building-physics.pdf,18,The level of heat transfer through 180 mm concrete convection will be greater on the outside than on the inside because of the wind.,failure,failure_analysis,unknown,med,strong,0.90,failure_analysis|has_causality|has_units,[]
building-physics.pdf,19,"R heat transfer resistance at the inside si surface [m2∙K/W] direction of heat flow construction part R R si se [m2∙K/W] [m2∙K/W] downward (horizontal construction floors above outside air 0.17 0.04 deviating up to 60° from horizontal) floors above unheated space or crawlspace 0.17 0.17 floor in contact with ground * * horizontal (vertically placed partition construction construction, slanting up to 30°) bordering on outside air 0.13 0.04 internal partition construction 0.13 0.13 upward (horizontal constructions outside partition construction deviating up to 60° from horizontal) on top of heated space 0.10 0.04 internal partition constructions 0.10 0.10 * Heat loss due to ground level floors, via a crawlspace or immediately on the bottom is a complex matter.",failure,failure_analysis,unknown,low,moderate,0.90,failure_analysis|has_causality,[]
c76279354c885d469376e6abc722c348.pdf,8,"In contrast, PBE slightly overestimates these structural parameters (a = b = 6.44 Å, c = 2.44 Å, V = 87.56 Å3), a well-known behaviour due to the lack of dispersion interactions.",failure,failure_analysis,unknown,low,moderate,0.90,failure_analysis|has_causality,[]
c76279354c885d469376e6abc722c348.pdf,30,"Figure 10 shows that the S1 configuration is no longer limited to local geometric reconstruction, but has undergone an integrated and significant structural deformation, indicating that the system needs to compensate for the chemical mismatch caused by doping through large-scale framework distortion.",failure,failure_analysis,unknown,low,moderate,0.90,failure_analysis|has_causality,[]
c76279354c885d469376e6abc722c348.pdf,39,"Liu, X.; Kang, W.; Zeng, W.; Zhang, Y.; Qi, L.; Ling, F.; Fang, L.; Chen, Q.; Zhou, M., Structural, electronic and photocatalytic properties of g-C3N4 with intrinsic defects: A first-principles hybrid functional investigation.",failure,failure_analysis,negative,low,weak,0.90,failure_analysis,[]
CDVERSION-physics.pdf,9,"Building Physics – Module 1 List of symbols and abbreviations Key to symbols and abbreviations A symbol value unit b ∆ θsi The safety margin K θae The ambient temperature °C θai indoor air temperature °C θag soil temperature and soil °C θe external computing temperature in winter °C θi internal computing temperature °C calculation of soil temperature adjacent to the θg building structures °C θm,e average annual ambient temperature °C amplitude of temperature fluctuations on the soil (θ ni ) 0 surface oC θp average temperature at the depth of soil °C θse outer surface temperature °C θsi inner surface temperature °C θsi,N the lowest inside surface temperature °C critical surface temperature on the formation of θsi,80 mold °C λ thermal conductivity W/(m.K) λn thermal conductivity of unfrozen soils W/(m.K) λz thermal conductivity of frozen soils W/(m.K) ν propagation speed of thermal waves m/s ν air velocity m/s a ρ density kg/m3 ρs density of dry soil kg/m3 χ point thermal transmittance W/K Ψ linear thermal transmittance W/(m.K) linear thermal transmittance of contact walls and Ψg floors W/(m.K) linear thermal transmittance for marginal thermal Ψg,e insulation floor W/(m.K) w mass of soil moisture % m φ relative humidity % basic heat loss heat transfer Q W o (STN 06 0210) 9",failure,failure_analysis,negative,med,moderate,0.90,failure_analysis|has_failure_mode|has_failure_driver,"[{""entity_type"": ""failure_mode"", ""entity_name"": ""mold"", ""entity_variant"": ""failure_mode"", ""role"": ""failure""}, {""entity_type"": ""failure_driver"", ""entity_name"": ""humidity"", ""entity_variant"": ""driver"", ""role"": ""cause""}]"
CDVERSION-physics.pdf,57,"Condensation is undesirable in the structures, in which the condensed vapour affects the required function (formation of mold, static strength, reduced service, etc.).",failure,failure_analysis,negative,low,weak,0.90,failure_analysis|has_failure_mode,"[{""entity_type"": ""failure_mode"", ""entity_name"": ""mold"", ""entity_variant"": ""failure_mode"", ""role"": ""failure""}]"
