event_id,event_type,stage,confidence_original,evidence_snippet,construction_research_v1_score,science_research_v1_score
46d4a2cc299d2177970e1366241149719a9eef2bca782f593af0884d0141211b,decision_point,unknown,med,This beam is subsequently split into the probe and reference beams within the interferometer.,+0.0,+0.0
a23fd95ffb937d139fcc71dcbd3574068bc14d6ae7e58f1de5230496744d30f7,decision_point,unknown,med,"3A-C, domain patterns are N largelyalteredoncethesampleiswarmedupabove𝑇 .Forexample,thebluetriangle-likedomain N in the right of the panel A turns into red in B, and then changes to a mixed configurat...",+0.0,+0.0
7b6130faa3d8005a56b108fae68d748a03a9c270cdacd3d7c5fe06f921540a2c,decision_point,unknown,med,"While the 499 mechanism by which Ssd1 represses translation of target mRNAs remains unclear, 500 many target mRNAs encode proteins involved in cell polarity and cell wall biogenesis 501 (Bayne et al.,...",+0.0,+3.0
461f40c60804b281d0a3687e68a26fa1c4f15ac02cde461bf07f8ee7dd3221b2,method_evaluation,unknown,med,"Predicted SsdA 541 targets are highly enriched for transcripts encoding plasma membrane and cell wall 542 proteins, which generally require transit through the endoplasmic reticulum (ER) and 543 Golgi...",+0.0,+0.0
5d5989b01bbf3d3f8e5936add68c63e5f421c844141de498dc1adb35bdac9064,toxicity_flag,unknown,med,"1 Introduction Chitosan is the deacetylated derivative of chitin, which is the second most abundant biopoly- mer on Earth.1 As a material, chitosan possesses many desirable properties, including high ...",+1.4,+0.0
2168aa6cab7329eb055af7e64232e14451a3ee900c28cc5b74da021202f4e099,manufacturing_constraint,unknown,med,"The natural rigidity19 and brittleness20 of chitosan, however, limits its use in applica- tions that require resilience and flexibility.21 These limitations can be addressed by blending chitosan with ...",+0.0,+2.0
60061a7dfc6d5d5d5f3ac961e0a34d2627631f09dc51262f98075b91d74fb85d,decision_point,unknown,med,"The minimized structures were subsequently heated to their respective target tempera- tures (T ; see Supplemental Information, Table S1) at a rate of 200 K/ns, followed by target a 21-step compression...",+0.0,+0.0
f3fe1c3c97499a4494632e5ec2a4a7d023b53e827adf20676e2b25f3b96e53d3,method_evaluation,unknown,med,"reassignment probability Pi as follows k Pi Pi 2.1.3 Estimation of community structure at the in- k1 = k1 Pi 1−Pi dividual level k2 k1 p(z∗ =k ,z|K)p(x,x∗i|z∗ =k ,z,K) Estimation of community structur...",+0.0,+0.0
e875e34814930da02f77159f11c4f8878c5f44cc914c2bb1a2740fcf1a543ff3,method_evaluation,unknown,med,idatetheperformanceofgroup-levelfunctionalconnectivity The column indices in MLAPM are then transformed into estimation by evaluating the similarity between posterior a vector of labels and a label-sw...,+3.6,+0.0
f8674ad5cf91a0c49ac7a1c83bc8b313fe6b7b6e3a102166fa5160ca4bf1d7d0,method_evaluation,unknown,med,"This off-axis OM geometry, velocity is given by implementedviacustomin-vacuummirrorswithaninte- grated beam-output aperture, eliminates pushing-beam λ v = δ , (1) light shifts and suppresses fluoresce...",+0.0,+0.0
