pdf_name,page,sentence,lens,event_type,outcome,confidence,context_strength,source_weight,tags,entities
1e98e632f015b8cf045b20d0ca61aab8.pdf,6,"For each configuration, the spin-density iso-surfaces form lobes with axes directed toward the Si vacancy.",compliance,code_compliance,neutral,med,weak,0.90,code_compliance,[]
1e98e632f015b8cf045b20d0ca61aab8.pdf,7,Spin density iso-surfaces calculated for Fig. 3.,compliance,code_compliance,neutral,med,moderate,0.90,code_compliance,[]
1e98e632f015b8cf045b20d0ca61aab8.pdf,7,Spin density iso-surfaces calculated for the triplet and singlet states of the V S defect the triplet and singlet states of the V S defect Si C Si C in the kk and hh configurations.,compliance,code_compliance,neutral,med,weak,0.90,code_compliance,[]
1e98e632f015b8cf045b20d0ca61aab8.pdf,16,"Anderson, C.P., Glen, E.O., Zeledon, C., Bourassa, A., Jin, Y., Zhu, Y., Vorwerk, C., Crook, A.L., Abe, H., Ul-Hassan, J.",compliance,code_compliance,neutral,med,weak,0.90,code_compliance,[]
34444b25e66fd1189b4ff2101056ae6352ab55760bd9fe763d86bce8e3a7abdf.pdf,5,"The California Building Code Chapter 7A (denoted as Chapter 7A in this document) outlines these minimum requirements (California State Fire Marshal, 2022).",compliance,code_compliance,neutral,med,moderate,0.90,code_compliance,[]
34444b25e66fd1189b4ff2101056ae6352ab55760bd9fe763d86bce8e3a7abdf.pdf,8,"Standard test methods such as ASTM E108 (American Society for Testing and Materials, 2020) and UL 790 (Underwriters Laboratories, 2022) evaluate the fire performance of different roofing materials.",compliance,code_compliance,neutral,med,moderate,0.90,code_compliance,"[{""entity_type"": ""code_standard"", ""entity_name"": ""ASTM E108"", ""entity_variant"": ""standard"", ""role"": ""standard""}]"
34444b25e66fd1189b4ff2101056ae6352ab55760bd9fe763d86bce8e3a7abdf.pdf,10,"Since 2016, Chapter 7A has required new vents to be resistant to embers and flames as tested by ASTM E2886 (American Society for Testing and Materials, 2014); this requirement will be added to the International Wildland-Urban Interface Code in 2024.",compliance,code_compliance,neutral,med,moderate,0.90,code_compliance,"[{""entity_type"": ""code_standard"", ""entity_name"": ""ASTM E2886"", ""entity_variant"": ""standard"", ""role"": ""standard""}]"
34444b25e66fd1189b4ff2101056ae6352ab55760bd9fe763d86bce8e3a7abdf.pdf,10,Recent full-scale tests at IBHS show that ASTM E2886–compliant vents do not allow large embers to pass through.,compliance,code_compliance,neutral,med,weak,0.90,code_compliance,"[{""entity_type"": ""code_standard"", ""entity_name"": ""ASTM E2886"", ""entity_variant"": ""standard"", ""role"": ""standard""}]"
34444b25e66fd1189b4ff2101056ae6352ab55760bd9fe763d86bce8e3a7abdf.pdf,11,"(a) Embers get stuck on the outside of an ASTM E2886–compliant vent until they become small enough to penetrate through during building separation tests at IBHS and (b) embers passing through the vents when no mesh is used (Sharifian Barforoush & Du Preez, 2022); image used with permission.",compliance,code_compliance,neutral,med,moderate,0.90,code_compliance,"[{""entity_type"": ""code_standard"", ""entity_name"": ""ASTM E2886"", ""entity_variant"": ""standard"", ""role"": ""standard""}]"
34444b25e66fd1189b4ff2101056ae6352ab55760bd9fe763d86bce8e3a7abdf.pdf,13,"In Australia, a more conservative 400 mm—or 15 in.—clearance is recommended where a wall meets any horizontal projection including the ground, decks, or roof sections (Queensland Government & Commonwealth Scientific and Industrial Research Organization, 2020).",compliance,code_compliance,positive,med,strong,0.90,code_compliance|pass,[]
