title,building_physics_score,materials_score,failure_score,climate_score,decision,reason
41408506,0,0,0,0,skip,"skip; building_physics=0, materials=0, failure=0, climate=0, total=0, biomedical=0"
Evaporative thermo-fluidics and deposition patterns in,0,0,0,0,skip,"skip; building_physics=0, materials=0, failure=0, climate=0, total=0, biomedical=0"
Optical Modulation Due to Energy Exchange Between Photonic,1,0,3,0,review,"lens scores warrant review; building_physics=1, materials=0, failure=3, climate=0, total=4"
3D Finite Element-Based Multiphysics Simulation of a Shape Memory Alloy Hybrid Composite Module,2,4,0,0,review,"lens scores warrant review; building_physics=2, materials=4, failure=0, climate=0, total=6"
Light-propelled microparticles based on symmetry-broken refractive index profiles,1,0,0,0,skip,"skip; building_physics=1, materials=0, failure=0, climate=0, total=1, biomedical=0"
Propagation of laser-generated GHz surface acoustic wavepackets in FeRh/MgO(001) below and above the antiferromagnetic-ferromagnetic phase transition,0,4,0,0,review,"lens scores warrant review; building_physics=0, materials=4, failure=0, climate=0, total=4"
The dynamics of nucleolus-centromeres interaction in living cells,0,0,0,0,skip,"skip; building_physics=0, materials=0, failure=0, climate=0, total=0, biomedical=0"
Magneto-optical imaging of macroscopic altermagnetic domains in MnTe,0,0,0,0,skip,"skip; building_physics=0, materials=0, failure=0, climate=0, total=0, biomedical=0"
"be transferred without notice, after which this version may no longer be accessible.",1,0,0,0,skip,"skip; building_physics=1, materials=0, failure=0, climate=0, total=1, biomedical=0"
Automated extraction of primary cilia-based biomarkers reveals ageing of cells.,0,0,0,0,skip,"skip; building_physics=0, materials=0, failure=0, climate=0, total=0, biomedical=0"
Endosomal hitchhiking and NDR kinase signaling coordinate SsdA-mRNP localization,0,0,4,0,review,"lens scores warrant review; building_physics=0, materials=0, failure=4, climate=0, total=4"
An Investigation in the Kinetic Persistence of TiO$_2$ Polymorphs using Machine Learning Driven Pathfinding in Crystal Configuration Space,2,2,7,0,review,"lens scores warrant review; building_physics=2, materials=2, failure=7, climate=0, total=11"
Persistent Free Volume Governs (Anti-)plasticization in Chitosan-Water Mixtures,1,2,0,0,skip,"skip; building_physics=1, materials=2, failure=0, climate=0, total=3, biomedical=0"
PUFFIN: Protein Unit Discovery with Functional Supervision,0,0,0,0,skip,"skip; building_physics=0, materials=0, failure=0, climate=0, total=0, biomedical=1"
Hierarchical Bayesian inference for community detection and connectivity of functional brain networks,2,0,0,0,skip,"skip; building_physics=2, materials=0, failure=0, climate=0, total=2, biomedical=0"
"Spontaneous Emission, Free Energy, and Relaxation-Limited Processes in Setting Limits on Solar Energy Conversion Efficiency",1,0,0,0,skip,"skip; building_physics=1, materials=0, failure=0, climate=0, total=1, biomedical=0"
Optimal spin-qubit hallmarks of sulfur-vacancy defects in 4H-SiC: Design,0,0,0,0,skip,"skip; building_physics=0, materials=0, failure=0, climate=0, total=0, biomedical=0"
Disentangling the ferroelectric phases of epitaxial hafnia,2,6,8,0,keep,"lens scores strong enough for keep; building_physics=2, materials=6, failure=8, climate=0"
Design and Verification of a Terahertz Bandpass Filter using a Spoof Surface Plasmon Polariton Waveguide with Gapped Unit Cells,0,4,3,0,review,"lens scores warrant review; building_physics=0, materials=4, failure=3, climate=0, total=7"
Compact Continuous Cold Atomic Beam from a Single Cell with 3D Cooling and Ultra-low Light Shift,0,0,8,0,keep,"lens scores strong enough for keep; building_physics=0, materials=0, failure=8, climate=0"
31525074,0,0,4,0,review,"lens scores warrant review; building_physics=0, materials=0, failure=4, climate=0, total=4"
Simulating Human Cognition: Heartbeat-Driven Autonomous Thinking Activity Scheduling for LLM-based AI systems,0,0,3,0,skip,"skip; building_physics=0, materials=0, failure=3, climate=0, total=3, biomedical=0"
Microsoft Word - TaCo2Te2_epi_V2_final,1,0,0,0,skip,"skip; building_physics=1, materials=0, failure=0, climate=0, total=1, biomedical=0"
"NAADP elicits two-pore channel currents by lifting Lsm12-mediated inhibition of PI(3,5)P2 activation",0,2,0,0,skip,"skip; building_physics=0, materials=2, failure=0, climate=0, total=2, biomedical=1"
Towards Non-van der Waals 2D Topological Insulators,2,2,3,0,review,"lens scores warrant review; building_physics=2, materials=2, failure=3, climate=0, total=7"
Additively manufactured Shape Memory Alloy Hybrid Composites with a polymer matrix featuring a re-entrant honeycomb structure,1,6,0,0,review,"lens scores warrant review; building_physics=1, materials=6, failure=0, climate=0, total=7"
Mellin-Space Prony Representability of Linear Viscoelastic Models,1,0,0,0,skip,"skip; building_physics=1, materials=0, failure=0, climate=0, total=1, biomedical=0"
Unity and Diversity of Intracellular pH Maintenance Mechanisms,0,2,8,0,keep,"lens scores strong enough for keep; building_physics=0, materials=2, failure=8, climate=0"
Synchronized disease and behavioural dynamics in weakly coupled populations,0,0,0,0,skip,"skip; building_physics=0, materials=0, failure=0, climate=0, total=0, biomedical=0"
Formalizing Poisson-Boltzmann Theory for Field-Tunable Nanofluidic Devices,0,0,0,0,skip,"skip; building_physics=0, materials=0, failure=0, climate=0, total=0, biomedical=0"
Retina gap junctions support the robust,0,0,3,0,skip,"skip; building_physics=0, materials=0, failure=3, climate=0, total=3, biomedical=0"
A Wide-Regulation-Range Hybrid Switched-Capacitor Converter for 48V Automotive Power Systems,0,0,0,0,skip,"skip; building_physics=0, materials=0, failure=0, climate=0, total=0, biomedical=0"
Morphological Transition: From Meanders to Mound Structures,0,2,0,0,skip,"skip; building_physics=0, materials=2, failure=0, climate=0, total=2, biomedical=0"
