source_path,destination_path,detected_domain,keep_skip_review,confidence,title,reason
cache\rss\0414a0cae8e26c422cbc3234e8d46822350be7201ffa071e241101fc000bebc8.pdf,main_pdfs_corrected\unknown\review\rss\0414a0cae8e26c422cbc3234e8d46822350be7201ffa071e241101fc000bebc8.pdf,unknown,review,low,41408506,mixed or weak signals; construction=none; building_context=none; contamination=none; climate=none
cache\rss\048793376e84cfc9a50cfdeba112497b.pdf,main_pdfs_corrected\physics\review\rss\048793376e84cfc9a50cfdeba112497b.pdf,physics,review,low,Evaporative thermo-fluidics and deposition patterns in,mixed or weak signals; construction=none; building_context=none; contamination=none; climate=none
cache\rss\04bc4e847574bd8e92d8758083548f9b.pdf,main_pdfs_corrected\physics\review\rss\04bc4e847574bd8e92d8758083548f9b.pdf,physics,review,low,Optical Modulation Due to Energy Exchange Between Photonic,mixed or weak signals; construction=materials; building_context=none; contamination=none; climate=none
cache\rss\06a07821b80851b51ee847500ce227f1.pdf,main_pdfs_corrected\physics\review\rss\06a07821b80851b51ee847500ce227f1.pdf,physics,review,med,3D Finite Element-Based Multiphysics Simulation of a Shape Memory Alloy Hybrid Composite Module,"mixed or weak signals; construction=code, materials; building_context=none; contamination=none; climate=none"
cache\rss\086150b24ff9fba2e0de7660ec9d6979.pdf,main_pdfs_corrected\physics\review\rss\086150b24ff9fba2e0de7660ec9d6979.pdf,physics,review,low,Light-propelled microparticles based on symmetry-broken refractive index profiles,mixed or weak signals; construction=materials; building_context=none; contamination=none; climate=none
cache\rss\0a21751c2a919993e557a1ba67e91de2.pdf,main_pdfs_corrected\physics\review\rss\0a21751c2a919993e557a1ba67e91de2.pdf,physics,review,low,Propagation of laser-generated GHz surface acoustic wavepackets in FeRh/MgO(001) below and above the antiferromagnetic-ferromagnetic phase transition,mixed or weak signals; construction=none; building_context=none; contamination=none; climate=none
cache\rss\0d68fa3c0ca709a8e9486077f02ec5bf8896429791add4d3ec475c80b57fcdfb.pdf,main_pdfs_corrected\unknown\review\rss\0d68fa3c0ca709a8e9486077f02ec5bf8896429791add4d3ec475c80b57fcdfb.pdf,unknown,review,low,The dynamics of nucleolus-centromeres interaction in living cells,mixed or weak signals; construction=none; building_context=none; contamination=none; climate=none
cache\rss\0e4722d26a98838ce413273024643135.pdf,main_pdfs_corrected\physics\review\rss\0e4722d26a98838ce413273024643135.pdf,physics,review,low,Magneto-optical imaging of macroscopic altermagnetic domains in MnTe,mixed or weak signals; construction=none; building_context=none; contamination=none; climate=none
cache\rss\0f6319e3cefbd8a5758cbe5ca28381e5.pdf,main_pdfs_corrected\materials_science\review\rss\0f6319e3cefbd8a5758cbe5ca28381e5.pdf,materials_science,review,low,"be transferred without notice, after which this version may no longer be accessible.",mixed or weak signals; construction=materials; building_context=none; contamination=none; climate=none
cache\rss\12d4cef5b3608fe043a0c3102b7786bb051650ebfb7b901332722119174159ff.pdf,main_pdfs_corrected\unknown\review\rss\12d4cef5b3608fe043a0c3102b7786bb051650ebfb7b901332722119174159ff.pdf,unknown,review,low,Automated extraction of primary cilia-based biomarkers reveals ageing of cells.,mixed or weak signals; construction=none; building_context=none; contamination=none; climate=none
cache\rss\15b45e04723946e2c91c8986a733faac4245f6da33dafc1f26d4a7454ccc3d41.pdf,main_pdfs_corrected\biomedical\review\rss\15b45e04723946e2c91c8986a733faac4245f6da33dafc1f26d4a7454ccc3d41.pdf,biomedical,review,low,Endosomal hitchhiking and NDR kinase signaling coordinate SsdA-mRNP localization,mixed or weak signals; construction=none; building_context=none; contamination=protein; climate=none
cache\rss\187c040748efb9887dee7df8da3442ea.pdf,main_pdfs_corrected\materials_science\review\rss\187c040748efb9887dee7df8da3442ea.pdf,materials_science,review,med,An Investigation in the Kinetic Persistence of TiO$_2$ Polymorphs using Machine Learning Driven Pathfinding in Crystal Configuration Space,"mixed or weak signals; construction=materials, structural; building_context=none; contamination=none; climate=none"
cache\rss\19c8641eb0ac6abaff65e3ca55e3935f.pdf,main_pdfs_corrected\materials_science\review\rss\19c8641eb0ac6abaff65e3ca55e3935f.pdf,materials_science,review,low,Persistent Free Volume Governs (Anti-)plasticization in Chitosan-Water Mixtures,mixed or weak signals; construction=materials; building_context=none; contamination=none; climate=none
cache\rss\1c8dd7a388a3bb8daf823a59d735afd2.pdf,main_pdfs_corrected\biomedical\review\rss\1c8dd7a388a3bb8daf823a59d735afd2.pdf,biomedical,review,low,PUFFIN: Protein Unit Discovery with Functional Supervision,mixed or weak signals; construction=none; building_context=none; contamination=protein; climate=none
cache\rss\1d4356f9d08860dcaec278dedd4263cc.pdf,main_pdfs_corrected\physics\review\rss\1d4356f9d08860dcaec278dedd4263cc.pdf,physics,review,med,Hierarchical Bayesian inference for community detection and connectivity of functional brain networks,"mixed or weak signals; construction=materials, structural; building_context=none; contamination=none; climate=none"
cache\rss\1e6e5e855ba8ede7ce7206aefe648c26.pdf,main_pdfs_corrected\physics\review\rss\1e6e5e855ba8ede7ce7206aefe648c26.pdf,physics,review,low,"Spontaneous Emission, Free Energy, and Relaxation-Limited Processes in Setting Limits on Solar Energy Conversion Efficiency",mixed or weak signals; construction=structural; building_context=none; contamination=none; climate=none
cache\rss\1e98e632f015b8cf045b20d0ca61aab8.pdf,main_pdfs_corrected\physics\review\rss\1e98e632f015b8cf045b20d0ca61aab8.pdf,physics,review,low,Optimal spin-qubit hallmarks of sulfur-vacancy defects in 4H-SiC: Design,mixed or weak signals; construction=none; building_context=none; contamination=none; climate=none
cache\rss\21b4ec6e220523a7b3344caaccd2a26b.pdf,main_pdfs_corrected\physics\review\rss\21b4ec6e220523a7b3344caaccd2a26b.pdf,physics,review,med,Disentangling the ferroelectric phases of epitaxial hafnia,"mixed or weak signals; construction=code, materials; building_context=none; contamination=none; climate=none"
