lens,pdf_path,pdf_name,page_number,sentence_index,sentence,event_type,outcome,confidence,context_strength,source_weight,tags,entities,error
compliance,cache/rss/0414a0cae8e26c422cbc3234e8d46822350be7201ffa071e241101fc000bebc8.pdf,0414a0cae8e26c422cbc3234e8d46822350be7201ffa071e241101fc000bebc8.pdf,2,6,"Here, we adapted our previously described IPC platform to non-endocrine pancreatic tissue fractions generated during clinical islet isolation procedures and evaluated their capacity to generate functional islet organoids.",code_compliance,neutral,med,moderate,0.9,"[""code_compliance""]","[{""entity_type"": ""code_standard"", ""entity_name"": ""STANDARD"", ""entity_variant"": ""standard"", ""role"": ""standard""}]",
compliance,cache/rss/0414a0cae8e26c422cbc3234e8d46822350be7201ffa071e241101fc000bebc8.pdf,0414a0cae8e26c422cbc3234e8d46822350be7201ffa071e241101fc000bebc8.pdf,2,7,"Methods: Non-endocrine pancreatic tissue fractions obtained during clinical islet isolation were expanded ex vivo and enriched using fluorescence-activated cell sorting (FACS) for CD81 and CD9, surface markers previously identified in IPC populations.",code_compliance,neutral,med,weak,0.9,"[""code_compliance""]","[{""entity_type"": ""code_standard"", ""entity_name"": ""STANDARD"", ""entity_variant"": ""standard"", ""role"": ""standard""}]",
compliance,cache/rss/048793376e84cfc9a50cfdeba112497b.pdf,048793376e84cfc9a50cfdeba112497b.pdf,1,4,"It was found that evaporation rates are best explained by considering advection within the droplet, rather than by diffusive transport alone or by changes in interfacial tension.",code_compliance,neutral,med,weak,0.9,"[""code_compliance""]","[{""entity_type"": ""code_standard"", ""entity_name"": ""STANDARD"", ""entity_variant"": ""standard"", ""role"": ""standard""}]",
compliance,cache/rss/048793376e84cfc9a50cfdeba112497b.pdf,048793376e84cfc9a50cfdeba112497b.pdf,1,6,The experimental facility was equipped to produce droplets from the dispensing mechanism and capture them under backlight illumination.,code_compliance,neutral,med,weak,0.9,"[""code_compliance""]","[{""entity_type"": ""code_standard"", ""entity_name"": ""STANDARD"", ""entity_variant"": ""standard"", ""role"": ""standard""}]",
compliance,cache/rss/048793376e84cfc9a50cfdeba112497b.pdf,048793376e84cfc9a50cfdeba112497b.pdf,2,14,"Over and above this, the evaporation of sessile droplets comprising solvated surfactants, dispersed nanoparticles, or other solutes is a complex transport phenomenon, governed by coupled interfacial and soluto-thermo-hydrodynamic interactions and effects.",code_compliance,neutral,med,weak,0.9,"[""code_compliance""]","[{""entity_type"": ""code_standard"", ""entity_name"": ""STANDARD"", ""entity_variant"": ""standard"", ""role"": ""standard""}]",
compliance,cache/rss/048793376e84cfc9a50cfdeba112497b.pdf,048793376e84cfc9a50cfdeba112497b.pdf,3,5,Alexandridis et al.8 showed that structured surfactant solutions exhibit evaporation behaviour distinct from pure water due to interfacial ordering-disordering and resistance to mass-transfer.,code_compliance,neutral,med,moderate,0.9,"[""code_compliance""]","[{""entity_type"": ""code_standard"", ""entity_name"": ""STANDARD"", ""entity_variant"": ""standard"", ""role"": ""standard""}]",
compliance,cache/rss/048793376e84cfc9a50cfdeba112497b.pdf,048793376e84cfc9a50cfdeba112497b.pdf,3,6,"Similar trends were reported for suspended or pendent droplets9, and thick liquid-film evaporation7 of surfactant solutions, highlighting the role of interfacial resistance and altered vapour diffusion pathways in such evaporating droplets.",code_compliance,neutral,med,weak,0.9,"[""code_compliance""]","[{""entity_type"": ""code_standard"", ""entity_name"": ""STANDARD"", ""entity_variant"": ""standard"", ""role"": ""standard""}]",
compliance,cache/rss/048793376e84cfc9a50cfdeba112497b.pdf,048793376e84cfc9a50cfdeba112497b.pdf,3,9,"The findings were supported by theory and/or simulations that dedicatedly incorporated surfactant transport, adsorption–desorption kinetics, and interfacial stresses in the numerical framework11–13.",code_compliance,neutral,med,moderate,0.9,"[""code_compliance""]","[{""entity_type"": ""code_standard"", ""entity_name"": ""STANDARD"", ""entity_variant"": ""standard"", ""role"": ""standard""}]",
compliance,cache/rss/048793376e84cfc9a50cfdeba112497b.pdf,048793376e84cfc9a50cfdeba112497b.pdf,3,11,"Comparisons between different contact line models further showed that, in theory, surfactant effects are strongly coupled to wetting assumptions and interfacial boundary conditions15.",code_compliance,neutral,med,weak,0.9,"[""code_compliance""]","[{""entity_type"": ""code_standard"", ""entity_name"": ""STANDARD"", ""entity_variant"": ""standard"", ""role"": ""standard""}]",
compliance,cache/rss/06a07821b80851b51ee847500ce227f1.pdf,06a07821b80851b51ee847500ce227f1.pdf,1,10,"The results show good qualitative agreement,reproducingthecharacteristichysteresisofactuatordeflectionasafunction of temperature.",code_compliance,neutral,med,weak,0.9,"[""code_compliance""]","[{""entity_type"": ""code_standard"", ""entity_name"": ""STANDARD"", ""entity_variant"": ""standard"", ""role"": ""standard""}]",
