event_id,domain,event_type,stage,outcome,decision_driver,evidence_snippet,confidence_original,confidence_boosted,primary_entity_count,context_entity_count,entities_primary,entities_context,entities_all,domain_id,domain_name,overlay_id,paper_id,created_at
cf8b7f47fff8bf7d,methods_tooling,decision_point,in_vivo,unknown,,[Validating the In Vivo Effects of SR12343 on Muscle Pathology: A Comparative Guide].,med,med,0,1,,model:In vivo,model:In vivo,methods_tooling,Methods & Tooling,methods_tooling_v1,61003854a952e459,2026-02-02T16:08:40Z
5acd266ee624b682,methods_tooling,decision_point,in_vivo,unknown,,"Conclusion Based on this hypothetical preclinical data, SR12343 demonstrates a robust therapeutic effect in the mdx mouse model of Duchenne muscular dystrophy.",med,med,0,1,,model:MOUSE,model:MOUSE,methods_tooling,Methods & Tooling,methods_tooling_v1,61003854a952e459,2026-02-02T16:08:40Z
3c56f8b904302f5b,methods_tooling,decision_point,unknown,unknown,,"The procedure is repeated three times for each animal, and the average is recorded.",low,low,0,0,,,,methods_tooling,Methods & Tooling,methods_tooling_v1,61003854a952e459,2026-02-02T16:08:40Z
0edc4f1fb85b03ac,methods_tooling,method_evaluation,unknown,unknown,,BenchChem offers custom synthesis for rare earth carbides and specific isotopiclabeling.,low,low,0,0,,,,methods_tooling,Methods & Tooling,methods_tooling_v1,61003854a952e459,2026-02-02T16:08:40Z
fb3f3b9d33a96a62,methods_tooling,efficacy_result,in_vivo,unknown,,"The objective is to present a framework for evaluating the in vivo efficacy of SR12343 in a preclinical model of Duchenne muscular dystrophy, the mdx mouse.",med,med,0,2,,model:In vivo; model:MOUSE,model:In vivo; model:MOUSE,methods_tooling,Methods & Tooling,methods_tooling_v1,61003854a952e459,2026-02-02T16:08:39Z
e26ff962401d6dbe,methods_tooling,efficacy_result,clinical,unknown,,This guide serves as a template for comparing the efficacy of a novel therapeutic agent against existing alternatives in a preclinical setting.,low,low,0,0,,,,methods_tooling,Methods & Tooling,methods_tooling_v1,61003854a952e459,2026-02-02T16:08:39Z
d1810d148fa68638,methods_tooling,decision_point,in_vivo,unknown,,Validation & Comparative Check Availability & Pricing Validating the In Vivo Effects of SR12343 on Muscle Pathology: A Comparative Guide Author: BenchChem Technical Support Team.,med,med,0,1,,model:In vivo,model:In vivo,methods_tooling,Methods & Tooling,methods_tooling_v1,61003854a952e459,2026-02-02T16:08:39Z
b89206833773f563,methods_tooling,manufacturing_constraint,in_vivo,unknown,,"Validation & Comparative Check Availability & Pricing Phase 1: Animal Acclimation & Baseline 6-month-old mdx mice (n=10 per group) Baseline Grip Strength & Body Weight Phase 2: Dosing Period (8 Weeks) Weekly Injections: - Vehicle - SR12343 - ACVR2B/Fc Weekly Monitoring: Body Weight Phase 3: Endpoint Analysis Final Grip Strength Test Euthanasia & Tissue Harvest Muscle Weight Measurement Histological Processing (TA, Gastrocnemius) (H&E, Masson's Trichrome) Data Analysis & Statistical Comparison Cl",high,high,0,3,,model:In vivo; model:TISSUE; model:MOUSE,model:In vivo; model:TISSUE; model:MOUSE,methods_tooling,Methods & Tooling,methods_tooling_v1,61003854a952e459,2026-02-02T16:08:39Z
a83dc8524551ebef,methods_tooling,efficacy_result,in_vivo,unknown,,"Validation & Comparative Check Availability & Pricing Comparative In Vivo Efficacy Data The following data represents a summary of a hypothetical 8-week study in 6-month-old male mdx mice, a model for Duchenne muscular dystrophy.",med,med,0,2,,model:In vivo; model:MOUSE,model:In vivo; model:MOUSE,methods_tooling,Methods & Tooling,methods_tooling_v1,61003854a952e459,2026-02-02T16:08:39Z
1a011466e739fc3c,methods_tooling,decision_point,clinical,unknown,,The diagram below outlines the key stages of the preclinical study.,low,low,0,0,,,,methods_tooling,Methods & Tooling,methods_tooling_v1,61003854a952e459,2026-02-02T16:08:39Z
f264814fe87dc702,methods_tooling,manufacturing_constraint,unknown,unknown,,"H.Li,B.Handsaker,A.Wysoker,T.Fennell,J.Ruan,N.Homer,G.Marth,G.Abecasis, work.Inaddition,wethanktheCHARGEAgingandLongevityWorkingGroup.Funding:This R.Durbin;1000GenomeProjectDataProcessingSubgroup, Thesequencealignment/ workwassupportedbytheGuggenheimFellowship(toM.P.H.),U.S.-IsraelBinationalScience mapformatandSAMtools.Bioinformatics 25, 2078–2079(2009).",low,low,0,0,,,,methods_tooling,Methods & Tooling,methods_tooling_v1,8e547308c8048bd3,2026-02-02T16:08:38Z
5accd43ea2f2ad07,methods_tooling,regulatory_risk,unknown,unknown,,"N.L.Tintle,B.Borchers,M.Brown,A.Bekmetjev,Comparinggenesetanalysismethodson andgenomicregulatoryblocks.NucleicAcidsRes.",low,low,0,0,,,,methods_tooling,Methods & Tooling,methods_tooling_v1,8e547308c8048bd3,2026-02-02T16:08:38Z
57ca06b2d506493f,methods_tooling,manufacturing_constraint,in_vivo,unknown,,"M.Depczynski,D.R.Bellwood,Shortestrecordedvertebratelifespanfoundinacoralreef intheagingprocess:Anotherpuzzlingroleforthishighlyconservedtranscriptionfactor.",low,low,0,0,,,,methods_tooling,Methods & Tooling,methods_tooling_v1,8e547308c8048bd3,2026-02-02T16:08:37Z
c2f1c579cb74fa2d,methods_tooling,decision_point,unknown,unknown,,"SCIENCE ADVANCES | RESEARCH ARTICLE G.aculeatus(three-spinedstickleback;BROADS1),T.nigroviridis discarded as being uninformative or misleading in thecontext of (greenspotted pufferfish;TETRAODON8.0), orO.latipes(Japa- set enrichment.",low,low,0,0,,,,methods_tooling,Methods & Tooling,methods_tooling_v1,8e547308c8048bd3,2026-02-02T16:08:36Z
7316c21a07d3bf99,methods_tooling,decision_point,unknown,unknown,,notallbrancheswereindividuallyofinterest.Thiswasrepeatedfor 3.,low,low,0,0,,,,methods_tooling,Methods & Tooling,methods_tooling_v1,8e547308c8048bd3,2026-02-02T16:08:36Z
