lens,pdf_path,pdf_name,page_number,sentence_index,sentence,event_type,outcome,confidence,context_strength,source_weight,tags,entities,error
climate,cache/rss/12d4cef5b3608fe043a0c3102b7786bb051650ebfb7b901332722119174159ff.pdf,12d4cef5b3608fe043a0c3102b7786bb051650ebfb7b901332722119174159ff.pdf,2,7,These data collectively suggest that ageing associates with altered function or structure of primary cilia and healthy primary cilia are essential for longevity and cellular resilience.,climate_resilience,neutral,med,weak,0.9,"[""climate_resilience"", ""construction_climate_interaction""]","[{""entity_type"": ""resilience_term"", ""entity_name"": ""resilience"", ""entity_variant"": ""concept"", ""role"": ""context""}, {""entity_type"": ""system"", ""entity_name"": ""structure"", ""entity_variant"": ""system"", ""role"": ""context""}]",
climate,cache/rss/187c040748efb9887dee7df8da3442ea.pdf,187c040748efb9887dee7df8da3442ea.pdf,2,19,"This method is based on the Crystal Normal Form, which provides a graph representation of crystal configuration space, resolves the ambiguity of unit cell choice [37], and enables the traversal of crystallo- graphic phase space without the risk of revisiting the same structure.",climate_resilience,neutral,med,moderate,0.9,"[""climate_resilience"", ""construction_climate_interaction""]","[{""entity_type"": ""resilience_term"", ""entity_name"": ""risk"", ""entity_variant"": ""concept"", ""role"": ""context""}, {""entity_type"": ""system"", ""entity_name"": ""structure"", ""entity_variant"": ""system"", ""role"": ""context""}]",
climate,cache/rss/19c8641eb0ac6abaff65e3ca55e3935f.pdf,19c8641eb0ac6abaff65e3ca55e3935f.pdf,2,2,"The natural rigidity19 and brittleness20 of chitosan, however, limits its use in applica- tions that require resilience and flexibility.21 These limitations can be addressed by blending chitosan with small-molecule additives.22–24 This process results in plasticization phenom- ena, which is typically characterized by lower modulus,25 glass transition temperature,26 and melt viscosity,27 along with increased gas permeability;28 the additives are thus called plasticizers.29 Atlowconcentrationsofcertainadditivesinpolymermixtures, theoppositeef- fect, known as antiplasticization, may occur.30 The resulting properties of mixtures strongly depend on specific polymer-additive interactions governed by their chemistry.31 Therefore, understanding the mechanism underlying these interactions is crucial to utilize plasticization and antiplasticization to manipulate the thermomechanical properties of otherwise desirable polymeric materials.",climate_resilience,neutral,med,strong,0.9,"[""climate_resilience"", ""construction_climate_interaction""]","[{""entity_type"": ""resilience_term"", ""entity_name"": ""resilience"", ""entity_variant"": ""concept"", ""role"": ""context""}, {""entity_type"": ""material"", ""entity_name"": ""glass"", ""entity_variant"": ""material"", ""role"": ""context""}, {""entity_type"": ""material"", ""entity_name"": ""polymer"", ""entity_variant"": ""material"", ""role"": ""context""}]",
climate,cache/rss/19c8641eb0ac6abaff65e3ca55e3935f.pdf,19c8641eb0ac6abaff65e3ca55e3935f.pdf,3,8,"Plasticization of chitosan with glycerol has been attributed to the dis- ruption of glucosamine intramolecular hydrogen bonds with insights from attenuated total reflectance-Fourier transform infrared spectroscopy (ATR-FTIR) and nuclear magnetic res- onance (NMR).38 However, the proposed mechanism does not account for the role of water despite the high moisture uptake of chitosan at ambient conditions.40,41 Furthermore, this mechanism focuses on the glucosamine monomer assemblies and may not translate to the chitosan polymer, where intermolecular interactions are expected to play a more significant role.",climate_resilience,negative,med,moderate,0.9,"[""climate_resilience"", ""has_hazard"", ""construction_climate_interaction""]","[{""entity_type"": ""hazard"", ""entity_name"": ""moisture"", ""entity_variant"": ""hazard"", ""role"": ""exposure""}, {""entity_type"": ""material"", ""entity_name"": ""polymer"", ""entity_variant"": ""material"", ""role"": ""context""}]",
climate,cache/rss/34444b25e66fd1189b4ff2101056ae6352ab55760bd9fe763d86bce8e3a7abdf.pdf,34444b25e66fd1189b4ff2101056ae6352ab55760bd9fe763d86bce8e3a7abdf.pdf,2,4,3 Wildfire Mitigation Issues in Brief..............................................................................................................................................................................,climate_resilience,negative,med,moderate,0.9,"[""climate_resilience"", ""has_hazard""]","[{""entity_type"": ""hazard"", ""entity_name"": ""wildfire"", ""entity_variant"": ""hazard"", ""role"": ""exposure""}, {""entity_type"": ""resilience_term"", ""entity_name"": ""mitigation"", ""entity_variant"": ""concept"", ""role"": ""context""}]",
climate,cache/rss/34444b25e66fd1189b4ff2101056ae6352ab55760bd9fe763d86bce8e3a7abdf.pdf,34444b25e66fd1189b4ff2101056ae6352ab55760bd9fe763d86bce8e3a7abdf.pdf,3,1,"Executive Summary In a wildfire, buildings ignite through a complex ignition mechanism linked to embers and flames.",climate_resilience,negative,low,weak,0.9,"[""climate_resilience"", ""has_hazard""]","[{""entity_type"": ""hazard"", ""entity_name"": ""wildfire"", ""entity_variant"": ""hazard"", ""role"": ""exposure""}]",
climate,cache/rss/34444b25e66fd1189b4ff2101056ae6352ab55760bd9fe763d86bce8e3a7abdf.pdf,34444b25e66fd1189b4ff2101056ae6352ab55760bd9fe763d86bce8e3a7abdf.pdf,3,3,"To meaningfully reduce the risk, a two-tiered approach that applies the current state of the science is necessary and must include: 1.",climate_resilience,neutral,low,moderate,0.9,"[""climate_resilience""]","[{""entity_type"": ""resilience_term"", ""entity_name"": ""risk"", ""entity_variant"": ""concept"", ""role"": ""context""}]",
climate,cache/rss/34444b25e66fd1189b4ff2101056ae6352ab55760bd9fe763d86bce8e3a7abdf.pdf,34444b25e66fd1189b4ff2101056ae6352ab55760bd9fe763d86bce8e3a7abdf.pdf,3,5,"an additional layer of mitigations to guard against flame exposure Wildland Fire Embers and Flames: Home Mitigations That Matter discusses available literature on the vulnerability of each component of the home and the need for this systematic, all-inclusive application of these mitigations.",climate_resilience,neutral,low,weak,0.9,"[""climate_resilience""]","[{""entity_type"": ""resilience_term"", ""entity_name"": ""exposure"", ""entity_variant"": ""concept"", ""role"": ""context""}, {""entity_type"": ""resilience_term"", ""entity_name"": ""vulnerability"", ""entity_variant"": ""concept"", ""role"": ""context""}]",
climate,cache/rss/34444b25e66fd1189b4ff2101056ae6352ab55760bd9fe763d86bce8e3a7abdf.pdf,34444b25e66fd1189b4ff2101056ae6352ab55760bd9fe763d86bce8e3a7abdf.pdf,3,7,A Class A roof covering reduces this vulnerability.,climate_resilience,neutral,med,weak,0.9,"[""climate_resilience"", ""construction_climate_interaction""]","[{""entity_type"": ""resilience_term"", ""entity_name"": ""vulnerability"", ""entity_variant"": ""concept"", ""role"": ""context""}, {""entity_type"": ""system"", ""entity_name"": ""roof"", ""entity_variant"": ""system"", ""role"": ""context""}]",
climate,cache/rss/34444b25e66fd1189b4ff2101056ae6352ab55760bd9fe763d86bce8e3a7abdf.pdf,34444b25e66fd1189b4ff2101056ae6352ab55760bd9fe763d86bce8e3a7abdf.pdf,3,10,Noncombustible gutters also shield the fascia board from flame exposure.,climate_resilience,neutral,med,weak,0.9,"[""climate_resilience"", ""construction_climate_interaction""]","[{""entity_type"": ""resilience_term"", ""entity_name"": ""exposure"", ""entity_variant"": ""concept"", ""role"": ""context""}, {""entity_type"": ""material"", ""entity_name"": ""board"", ""entity_variant"": ""material"", ""role"": ""context""}]",
