source_path,destination_path,detected_domain,keep_skip_review,confidence,title,reason
input\pdfs\biohacking_longevity\longevity_v1\A-Replicase-Clamp-Binding-Dynamin-like-Protein-Promotes-Colocaliz_2013_Cell-.pdf,main_pdfs_v2\biomedical\review\pdfs\biohacking_longevity\longevity_v1\A-Replicase-Clamp-Binding-Dynamin-like-Protein-Promotes-Colocaliz_2013_Cell-.pdf,biomedical,review,low,A Replicase Clamp-Binding Dynamin-like Protein Promotes Colocalization of Nascent DNA Strands and Equipartitioning of Chromosomes in E.&nbsp;coli,mixed or weak signals; construction=none; building_context=none; contamination=protein; climate=none
input\pdfs\biohacking_longevity\longevity_v1\Autophagy-and-metabolic-aging--Current-_2024_Biochimica-et-Biophysica-Acta--.pdf,main_pdfs_v2\unknown\review\pdfs\biohacking_longevity\longevity_v1\Autophagy-and-metabolic-aging--Current-_2024_Biochimica-et-Biophysica-Acta--.pdf,unknown,review,low,Autophagy and metabolic aging: Current understanding and future applications,mixed or weak signals; construction=none; building_context=none; contamination=none; climate=none
input\pdfs\biohacking_longevity\longevity_v1\Corrigendum-to--MageC2-protein-is-upregulated-by-oncogen_2024_Biochimica-et-.pdf,main_pdfs_v2\biomedical\review\pdfs\biohacking_longevity\longevity_v1\Corrigendum-to--MageC2-protein-is-upregulated-by-oncogen_2024_Biochimica-et-.pdf,biomedical,review,low,"Corrigendum to “MageC2 protein is upregulated by oncogenic activation of MAPK pathway and causes impairment of the p53 transactivation function” [Biochim. Biophys. Acta, Mol. Cell Res. vol. 1868 (Issue 3) (March 2021) 118918]",mixed or weak signals; construction=none; building_context=none; contamination=protein; climate=none
input\pdfs\biohacking_longevity\longevity_v1\Differential-Translation-Tunes-Uneven-Production-of-Operon-En_2013_Cell-Repo.pdf,main_pdfs_v2\biomedical\review\pdfs\biohacking_longevity\longevity_v1\Differential-Translation-Tunes-Uneven-Production-of-Operon-En_2013_Cell-Repo.pdf,biomedical,review,low,Differential Translation Tunes Uneven Production of Operon-Encoded Proteins,mixed or weak signals; construction=none; building_context=none; contamination=protein; climate=none
input\pdfs\biohacking_longevity\longevity_v1\Divergent-Contributions-of-Conserved-Active-Site-Residues-to-Tra_2013_Cell-R.pdf,main_pdfs_v2\materials_science\review\pdfs\biohacking_longevity\longevity_v1\Divergent-Contributions-of-Conserved-Active-Site-Residues-to-Tra_2013_Cell-R.pdf,materials_science,review,low,Divergent Contributions of Conserved Active Site Residues to Transcription by Eukaryotic RNA Polymerases I and II,mixed or weak signals; construction=structural; building_context=none; contamination=protein; climate=none
input\pdfs\biohacking_longevity\longevity_v1\DREADDs-in-Drosophila--A-Pharmacogenetic-Approach-for-Controllin_2013_Cell-R.pdf,main_pdfs_v2\unknown\review\pdfs\biohacking_longevity\longevity_v1\DREADDs-in-Drosophila--A-Pharmacogenetic-Approach-for-Controllin_2013_Cell-R.pdf,unknown,review,low,"DREADDs in Drosophila: A Pharmacogenetic Approach for Controlling Behavior, Neuronal Signaling, and Physiology in the Fly",mixed or weak signals; construction=none; building_context=none; contamination=none; climate=none
input\pdfs\biohacking_longevity\longevity_v1\Editorial-Boar_2024_Biochimica-et-Biophysica-Acta--BBA----Molecular-Cell-Res.pdf,main_pdfs_v2\unknown\review\pdfs\biohacking_longevity\longevity_v1\Editorial-Boar_2024_Biochimica-et-Biophysica-Acta--BBA----Molecular-Cell-Res.pdf,unknown,review,low,Biochimica et Biophysica Acta Founded in 1947 by H.G.K. Westenbrink,mixed or weak signals; construction=none; building_context=none; contamination=none; climate=none
input\pdfs\biohacking_longevity\longevity_v1\Endothelial-Jagged-1-Is-Necessary-for-Homeostatic-and-Regener_2013_Cell-Repo.pdf,main_pdfs_v2\unknown\review\pdfs\biohacking_longevity\longevity_v1\Endothelial-Jagged-1-Is-Necessary-for-Homeostatic-and-Regener_2013_Cell-Repo.pdf,unknown,review,low,Endothelial Jagged-1 Is Necessary for Homeostatic and Regenerative Hematopoiesis,mixed or weak signals; construction=none; building_context=none; contamination=none; climate=none
input\pdfs\biohacking_longevity\longevity_v1\Extensive-Cooperation-of-Immune-Master-Regulators-IRF3-and-NF-B-i_2013_Cell-.pdf,main_pdfs_v2\materials_science\review\pdfs\biohacking_longevity\longevity_v1\Extensive-Cooperation-of-Immune-Master-Regulators-IRF3-and-NF-B-i_2013_Cell-.pdf,materials_science,review,low,Extensive Cooperation of Immune Master Regulators IRF3 and NFκB in RNA Pol II Recruitment and Pause Release in Human Innate Antiviral Transcription,mixed or weak signals; construction=none; building_context=none; contamination=none; climate=none
input\pdfs\biohacking_longevity\longevity_v1\Fe-S-cluster-homeostasis-and-beyond--_2024_Biochimica-et-Biophysica-Acta--BB.pdf,main_pdfs_v2\unknown\review\pdfs\biohacking_longevity\longevity_v1\Fe-S-cluster-homeostasis-and-beyond--_2024_Biochimica-et-Biophysica-Acta--BB.pdf,unknown,review,low,Fe-S cluster homeostasis and beyond: The multifaceted roles of IscR,mixed or weak signals; construction=none; building_context=none; contamination=none; climate=none
